sample_id,app_id,name,outcome,true_genres,pred_genres,missed_genres,spurious_genres,jaccard,max_prob,description_word_count,brightness,image_path,description
2073470_0,2073470,Kanjozoku Game レーサー Online Street Racing & Drift,exact,Racing|Simulation|Sports,Racing|Simulation|Sports,,,1.0000,0.9980,20,0.1525,data/images/2073470_0.jpg,"90s Osaka Kanjo Night Street Racing and Drift Online with True JDM Cars, Online PvP, Engine, Body and Suspension Tuning!"
280560_0,280560,Danmaku Unlimited 2,exact,Action,Action,,,1.0000,0.9926,37,0.2685,data/images/280560_0.jpg,"Classic Japanese style vertical manic shooting action! Shoot, dodge and explode your way through the second entry in the critically acclaimed Danmaku Unlimited series. Battle through nail-biting bullet patterns and compete for dominance on the global leaderboard!"
474210_1,474210,BUTCHER,exact,Action|Adventure,Action|Adventure,,,1.0000,0.9924,45,,data/images/474210_1.jpg,"this game is a fast-paced, blood-soaked 2D shooter where carnage is the only way forward. Become a ruthless cyborg tasked with eradicating humanity, leaving nothing but blood, guts, and destruction in your wake. There's no such thing as too much violence in this grim, retro-styled gorefest."
1803390_1,1803390,Bounty: Drag Racing,partial,Action|Racing|Simulation|Sports,Racing|Simulation|Sports,Action,,0.7500,0.9935,45,0.1653,data/images/1803390_1.jpg,this game is the most complete online this game experience on the market. Race the fastest and most varied types of dragsters in the world. Customize and fine tune your cars to achieve maximum performance and hop online for the closest type of racing!
381800_1,381800,DRIFT 84,partial,Racing,Racing|Simulation|Sports,,Simulation|Sports,0.3333,0.9906,46,0.1453,data/images/381800_1.jpg,"this game puts you at the wheel of over 6 realistic, ESC disabled drift racing cars as you make your way around over 50+ tracks across Europe. A hyper-addictive, easy to play racing game that can offer 30 seconds or 30 minutes of high octane drifting."
888380_0,888380,ZOLO - Zombies Only Live Once,partial,Action|Casual,Action,Casual,,0.5000,0.9905,38,0.4130,data/images/888380_0.jpg,"A Zombie, low poly cubic style, action adventure, PC VR game.Feel the brute strength with your fist punches! Experience the fire power with a large arsenal and exotic weapons! Launch your victims into thin air and score higher!"
2776660_0,2776660,GOKA Street,wrong,Sports,Action|Casual,Sports,Action|Casual,0.0000,0.9563,48,,data/images/2776660_0.jpg,"this game is a multiplayer street football game built for fast-paced action & endless replayability. It combines arcade-style gameplay with real football mechanics. With battle royale-flavored unique modes, it invites up to 6 players to kick up the dust on the streets. Just show 'em what you got!"
2793550_0,2793550,Reel Fishing: Days of Summer,wrong,Action|RPG|Sports,Casual,Action|RPG|Sports,Casual,0.0000,0.9350,30,,data/images/2793550_0.jpg,Catch the largest of lunkers from a variety of picturesque locales! Join three good friends as they spend the last this game together with one last memorable fishing trip!
1682610_0,1682610,Tank Zombie Smasher,wrong,Simulation|Sports,Action|Casual|Racing,Simulation|Sports,Action|Casual|Racing,0.0000,0.9345,23,,data/images/1682610_0.jpg,"this game you control a tank on the insane speed, blowing up everything on your way and smashing zombies coming to you."
661700_0,661700,心の闇の先に Trial VersionⅡ,empty_prediction,Adventure,,Adventure,,0.0000,0.3386,38,0.8093,data/images/661700_0.jpg,"Life style set in the realistic life of modernity is drawn, and the vector of contents differs greatly from general game, It is a sound novel of an undeveloped market that does not apply to existing game genres."
661700_1,661700,心の闇の先に Trial VersionⅡ,empty_prediction,Adventure,,Adventure,,0.0000,0.3386,38,0.4636,data/images/661700_1.jpg,"Life style set in the realistic life of modernity is drawn, and the vector of contents differs greatly from general game, It is a sound novel of an undeveloped market that does not apply to existing game genres."
