sample_id,true_genres,pred_genres_image,outcome_image,jaccard_image,tp_image,fp_image,fn_image,pred_genres_text,outcome_text,jaccard_text,tp_text,fp_text,fn_text,pred_genres_multimodal,outcome_multimodal,jaccard_multimodal,tp_multimodal,fp_multimodal,fn_multimodal
1001590_0,Action|Casual,Action|Adventure|Casual|RPG,partial,0.5000,2,2,0,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Casual,exact,1.0000,2,0,0
1001590_1,Action|Casual,Action|Adventure|Casual|RPG|Strategy,partial,0.4000,2,3,0,Action|Adventure|Casual,partial,0.6667,2,1,0,Action|Casual,exact,1.0000,2,0,0
1001660_0,Action|Adventure|Casual|RPG,Action,partial,0.2500,1,0,3,Action|RPG|Strategy,partial,0.4000,2,1,2,RPG,partial,0.2500,1,0,3
1001660_1,Action|Adventure|Casual|RPG,Action|Adventure,partial,0.5000,2,0,2,Action|RPG|Strategy,partial,0.4000,2,1,2,RPG|Strategy,partial,0.2000,1,1,3
1004790_0,Adventure|Casual|RPG,Casual|Simulation|Strategy,partial,0.2000,1,2,2,Action|Adventure|RPG,partial,0.5000,2,1,1,Action|Adventure|Casual|RPG|Simulation,partial,0.6000,3,2,0
1004790_1,Adventure|Casual|RPG,Adventure|Casual|RPG|Strategy,partial,0.7500,3,1,0,Action|Adventure|RPG,partial,0.5000,2,1,1,Action|Adventure|Casual|RPG|Strategy,partial,0.6000,3,2,0
1006120_0,Action|Casual|Sports,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Casual|Sports,exact,1.0000,3,0,0,Action|Casual|Sports,exact,1.0000,3,0,0
1006120_1,Action|Casual|Sports,Action|Adventure|Casual,partial,0.5000,2,1,1,Action|Casual|Sports,exact,1.0000,3,0,0,Action|Casual|Sports,exact,1.0000,3,0,0
1006390_0,Casual|Strategy,Simulation|Strategy,partial,0.3333,1,1,1,Casual|Strategy,exact,1.0000,2,0,0,Casual|Strategy,exact,1.0000,2,0,0
1006390_1,Casual|Strategy,Casual|Strategy,exact,1.0000,2,0,0,Casual|Strategy,exact,1.0000,2,0,0,Casual|Strategy,exact,1.0000,2,0,0
1007140_0,Racing|Simulation|Sports,Action|Casual|Racing|Simulation,partial,0.4000,2,2,1,Racing|Simulation|Sports,exact,1.0000,3,0,0,Racing|Simulation|Sports,exact,1.0000,3,0,0
1007140_1,Racing|Simulation|Sports,Action|Adventure|Casual,wrong,0.0000,0,3,3,Racing|Simulation|Sports,exact,1.0000,3,0,0,Racing|Simulation|Sports,exact,1.0000,3,0,0
1007730_0,Adventure|Casual|Simulation|Strategy,Adventure|Casual|Simulation,partial,0.7500,3,0,1,Adventure|Casual,partial,0.5000,2,0,2,Adventure|Casual,partial,0.5000,2,0,2
1007730_1,Adventure|Casual|Simulation|Strategy,Action|Adventure|Casual|Simulation,partial,0.6000,3,1,1,Adventure|Casual,partial,0.5000,2,0,2,Adventure|Casual,partial,0.5000,2,0,2
1007810_0,Adventure|RPG,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Adventure|Casual,partial,0.2500,1,2,1
1007810_1,Adventure|RPG,Adventure|Casual,partial,0.3333,1,1,1,Action|Adventure|Casual,partial,0.2500,1,2,1,Action|Adventure|Casual,partial,0.2500,1,2,1
1008510_0,Action|Adventure|Simulation|Strategy,Action|Casual|Simulation,partial,0.4000,2,1,2,Action|Adventure|Simulation,partial,0.7500,3,0,1,Action|Adventure|Simulation,partial,0.7500,3,0,1
1008510_1,Action|Adventure|Simulation|Strategy,Action|Adventure|Casual|Simulation,partial,0.6000,3,1,1,Action|Adventure|Simulation,partial,0.7500,3,0,1,Action|Adventure|Simulation,partial,0.7500,3,0,1
